,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
783,2001-01-08,24.79057215364769,-2.123938037517517,45.80215093564633,24.79057215364769,24.79057215364769,-1.5469312367403814,-1.5469312367403814,-1.5469312367403814,-1.5469312367403814,-1.5469312367403814,-1.5469312367403814,0.0,0.0,0.0,23.24364091690731
784,2001-01-15,24.831455897019858,1.668699668744332,47.33597425473027,24.831455897019858,24.831455897019858,-1.384263730692668,-1.384263730692668,-1.384263730692668,-1.384263730692668,-1.384263730692668,-1.384263730692668,0.0,0.0,0.0,23.44719216632719
785,2001-01-22,24.87233964039202,-0.9374019758125649,46.860153193690444,24.87233964039202,24.87233964039202,-1.5533209739003595,-1.5533209739003595,-1.5533209739003595,-1.5533209739003595,-1.5533209739003595,-1.5533209739003595,0.0,0.0,0.0,23.31901866649166
786,2001-01-29,24.913223383764183,-1.050209118035274,45.52459640598169,24.913223383764183,24.913223383764183,-1.8922778522344204,-1.8922778522344204,-1.8922778522344204,-1.8922778522344204,-1.8922778522344204,-1.8922778522344204,0.0,0.0,0.0,23.02094553152976
787,2001-02-05,24.954107127136346,-0.5060068812108595,47.40984344052357,24.954107127136346,24.954107127136346,-2.1279624626622566,-2.1279624626622566,-2.1279624626622566,-2.1279624626622566,-2.1279624626622566,-2.1279624626622566,0.0,0.0,0.0,22.82614466447409
788,2001-02-12,24.994990870508513,-0.2963402550811145,46.973220774145034,24.994990870508513,24.994990870508513,-2.0469881180261322,-2.0469881180261322,-2.0469881180261322,-2.0469881180261322,-2.0469881180261322,-2.0469881180261322,0.0,0.0,0.0,22.94800275248238
789,2001-02-19,25.035874613880676,-0.8283064200907454,47.43725351671054,25.035874613880676,25.035874613880676,-1.6290189950099148,-1.6290189950099148,-1.6290189950099148,-1.6290189950099148,-1.6290189950099148,-1.6290189950099148,0.0,0.0,0.0,23.40685561887076
790,2001-02-26,25.07675835725283,-0.6851944018151159,47.72132084470881,25.07675835725283,25.07675835725283,-1.0688832648201407,-1.0688832648201407,-1.0688832648201407,-1.0688832648201407,-1.0688832648201407,-1.0688832648201407,0.0,0.0,0.0,24.00787509243269
791,2001-03-05,25.117642100624998,-0.6447445498526201,48.85270312668561,25.117642100624998,25.117642100624998,-0.6553562279933699,-0.6553562279933699,-0.6553562279933699,-0.6553562279933699,-0.6553562279933699,-0.6553562279933699,0.0,0.0,0.0,24.46228587263163
792,2001-03-12,25.158525843997165,2.4949296257838354,48.01656753951409,25.158525843997165,25.158525843997165,-0.5633501299252875,-0.5633501299252875,-0.5633501299252875,-0.5633501299252875,-0.5633501299252875,-0.5633501299252875,0.0,0.0,0.0,24.59517571407188
793,2001-03-19,25.199409587369328,0.9568419190988923,48.64788557684428,25.199409587369328,25.199409587369328,-0.71186305039724,-0.71186305039724,-0.71186305039724,-0.71186305039724,-0.71186305039724,-0.71186305039724,0.0,0.0,0.0,24.487546536972086
794,2001-03-26,25.24029333074149,-1.313661653548007,47.209602961640414,25.24029333074149,25.24029333074149,-0.8260903638280601,-0.8260903638280601,-0.8260903638280601,-0.8260903638280601,-0.8260903638280601,-0.8260903638280601,0.0,0.0,0.0,24.41420296691343
795,2001-04-02,25.281177074113653,0.32622073454126443,49.079381310403136,25.281177074113653,25.281177074113653,-0.6743527733150472,-0.6743527733150472,-0.6743527733150472,-0.6743527733150472,-0.6743527733150472,-0.6743527733150472,0.0,0.0,0.0,24.606824300798607
796,2001-04-09,25.322060817485816,-1.8407556832070031,49.41848495934816,25.322060817485816,25.322060817485816,-0.26929731154545994,-0.26929731154545994,-0.26929731154545994,-0.26929731154545994,-0.26929731154545994,-0.26929731154545994,0.0,0.0,0.0,25.052763505940355
797,2001-04-16,25.362944560857983,2.2315657373599946,51.368516581660096,25.362944560857983,25.362944560857983,0.1645276400401509,0.1645276400401509,0.1645276400401509,0.1645276400401509,0.1645276400401509,0.1645276400401509,0.0,0.0,0.0,25.527472200898135
798,2001-04-23,25.403828304230146,3.2741803435185592,48.50039949236438,25.403828304230146,25.403828304230146,0.425146547441804,0.425146547441804,0.425146547441804,0.425146547441804,0.425146547441804,0.425146547441804,0.0,0.0,0.0,25.82897485167195
799,2001-04-30,25.44471204760231,1.3509879969456067,49.539513718323136,25.44471204760231,25.44471204760231,0.5240577437033653,0.5240577437033653,0.5240577437033653,0.5240577437033653,0.5240577437033653,0.5240577437033653,0.0,0.0,0.0,25.968769791305675
800,2001-05-07,25.48559579097447,2.5046212390492326,51.309861738930735,25.48559579097447,25.48559579097447,0.6344507760344652,0.6344507760344652,0.6344507760344652,0.6344507760344652,0.6344507760344652,0.6344507760344652,0.0,0.0,0.0,26.120046567008938
801,2001-05-14,25.526479534346635,1.0642605292420309,47.986408359191785,25.526479534346635,25.526479534346635,0.8674296841436472,0.8674296841436472,0.8674296841436472,0.8674296841436472,0.8674296841436472,0.8674296841436472,0.0,0.0,0.0,26.393909218490283
802,2001-05-21,25.567363277718798,4.160527829830385,49.487119865905946,25.567363277718798,25.567363277718798,1.1387136104840583,1.1387136104840583,1.1387136104840583,1.1387136104840583,1.1387136104840583,1.1387136104840583,0.0,0.0,0.0,26.706076888202855
803,2001-05-28,25.608247021090964,2.633053540937222,51.14087013709441,25.608247021090964,25.608247021090964,1.2785204064207332,1.2785204064207332,1.2785204064207332,1.2785204064207332,1.2785204064207332,1.2785204064207332,0.0,0.0,0.0,26.886767427511696
804,2001-06-04,25.649130764463127,3.1697087583251946,48.36836027218173,25.649130764463127,25.649130764463127,1.250350075396588,1.250350075396588,1.250350075396588,1.250350075396588,1.250350075396588,1.250350075396588,0.0,0.0,0.0,26.899480839859716
805,2001-06-11,25.69001450783529,3.036197258581402,48.99047147559399,25.69001450783529,25.69001450783529,1.21586269532088,1.21586269532088,1.21586269532088,1.21586269532088,1.21586269532088,1.21586269532088,0.0,0.0,0.0,26.90587720315617
806,2001-06-18,25.730898251207453,1.5870600990195558,50.28933894912085,25.730898251207453,25.730898251207453,1.3646483942621472,1.3646483942621472,1.3646483942621472,1.3646483942621472,1.3646483942621472,1.3646483942621472,0.0,0.0,0.0,27.0955466454696
807,2001-06-25,25.771781994579616,2.7413423150455336,52.82930103293552,25.771781994579616,25.771781994579616,1.7041118735883172,1.7041118735883172,1.7041118735883172,1.7041118735883172,1.7041118735883172,1.7041118735883172,0.0,0.0,0.0,27.475893868167933
808,2001-07-02,25.81266573795178,4.204352694919668,52.65435327553124,25.81266573795178,25.81266573795178,2.0491594347567275,2.0491594347567275,2.0491594347567275,2.0491594347567275,2.0491594347567275,2.0491594347567275,0.0,0.0,0.0,27.861825172708507
809,2001-07-09,25.853549481323938,4.528749571685681,50.93784056486071,25.853549481323938,25.853549481323938,2.2157047908786938,2.2157047908786938,2.2157047908786938,2.2157047908786938,2.2157047908786938,2.2157047908786938,0.0,0.0,0.0,28.06925427220263
810,2001-07-16,25.894433224696105,4.315176384920458,51.986534910030365,25.894433224696105,25.894433224696105,2.190554825251234,2.190554825251234,2.190554825251234,2.190554825251234,2.190554825251234,2.190554825251234,0.0,0.0,0.0,28.084988049947338
811,2001-07-23,25.935316968068268,4.189618941058917,51.92381906579202,25.935316968068268,25.935316968068268,2.094140671026355,2.094140671026355,2.094140671026355,2.094140671026355,2.094140671026355,2.094140671026355,0.0,0.0,0.0,28.029457639094623
812,2001-07-30,25.97620071144043,2.1966322739251702,53.13072722381794,25.97620071144043,25.97620071144043,2.0065584186946515,2.0065584186946515,2.0065584186946515,2.0065584186946515,2.0065584186946515,2.0065584186946515,0.0,0.0,0.0,27.982759130135083
813,2001-08-06,26.017084454812593,3.5007059249677033,51.89599843661184,26.017084454812593,26.017084454812593,1.879393042064818,1.879393042064818,1.879393042064818,1.879393042064818,1.879393042064818,1.879393042064818,0.0,0.0,0.0,27.896477496877413
814,2001-08-13,26.057968198184756,2.9139433791507345,51.08874599134556,26.057968198184756,26.057968198184756,1.6311998645967722,1.6311998645967722,1.6311998645967722,1.6311998645967722,1.6311998645967722,1.6311998645967722,0.0,0.0,0.0,27.68916806278153
815,2001-08-20,26.09885194155692,2.854044020889797,53.06733438932021,26.09885194155692,26.09885194155692,1.2906784126954602,1.2906784126954602,1.2906784126954602,1.2906784126954602,1.2906784126954602,1.2906784126954602,0.0,0.0,0.0,27.38953035425238
816,2001-08-27,26.139735684929082,4.303929186269404,51.50194828545004,26.139735684929082,26.139735684929082,0.9993764476791058,0.9993764476791058,0.9993764476791058,0.9993764476791058,0.9993764476791058,0.9993764476791058,0.0,0.0,0.0,27.139112132608187
817,2001-09-03,26.18061942830125,3.4328164911590338,49.102701981659,26.18061942830125,26.18061942830125,0.8692415739991982,0.8692415739991982,0.8692415739991982,0.8692415739991982,0.8692415739991982,0.8692415739991982,0.0,0.0,0.0,27.049861002300446
